,subsample_size,time
0,10,1.3011904682000002
1,16,1.3855256244000003
2,26,1.5626093243999997
3,42,1.7267371183999984
4,69,1.926149001799999
5,112,2.1177108239999995
6,183,2.3025594332000012
7,297,2.487122597799997
8,483,2.6875099344000004
9,784,2.8578164550000027
10,1274,3.0383912281999983
11,2069,3.2270808439999996
12,3359,3.4134433291999984
13,5455,3.5847001327999974
14,8858,3.7480014893999907
15,14384,3.885008605400003
16,23357,4.055413601400005
17,37926,4.327644608000003
18,61584,4.508051522199992
19,100000,4.593389087400022
