N	size	GC	time	mem
1	1000	1000	10	48.05	52760
2	1000	1000	100	29.97	99144
3	1000	1000	1000	29.97	584996
4	1000	1000	10000	33.15	4852060
5	1000	10000	10	336.36	83928
6	1000	10000	100	133.15	189064
7	1000	10000	1000	117.2	1016764
8	1000	10000	10000	120.41	9280560
9	1000	50000	10	1850.14	234472
10	1000	50000	100	643.84	527748
11	1000	50000	1000	499.11	3338544
12	1000	50000	10000	493.84	31547048
13	10000	1000	10	2664.17	109232
14	10000	1000	100	2379.92	552652
15	10000	1000	1000	2540.79	4428116
16	10000	1000	10000	2680.97	43525296
17	10000	10000	10	7387.85	169160
18	10000	10000	100	4647.94	626392
19	10000	10000	1000	4513.24	4901800
20	10000	10000	10000	4607.52	47946512
21	10000	50000	10	31485.67	337020
22	10000	50000	100	16319.01	962956
23	10000	50000	1000	14954.15	7014016
24	10000	50000	10000	15250.72	67641772
