time	mem	arg	queue	sel	N	rho	time_per_gen
2814.16	2119444	True	False	True	1000.0	1000.0	0.281416
26160.32	4565556	True	False	True	1000.0	10000.0	2.616032
6727.68	2459824	True	False	True	1000.0	2500.0	0.672768
13172.2	3130212	True	False	True	1000.0	5000.0	1.31722
19560.37	3857624	True	False	True	1000.0	7500.0	1.9560369999999998
32425.38	141320524	True	False	True	10000.0	1000.0	0.32425380000000004
46320.91	142007592	True	False	True	10000.0	2500.0	0.46320910000000004
66447.69	143221404	True	False	True	10000.0	5000.0	0.6644769
84875.89	144453788	True	False	True	10000.0	7500.0	0.8487589
11245.68	965164	False	False	True	1000.0	1000.0	1.124568
122238.88	8964604	False	False	True	1000.0	10000.0	12.223888
28383.61	2295096	False	False	True	1000.0	2500.0	2.838361
62604.09	4550576	False	False	True	1000.0	5000.0	6.260408999999999
88244.61	6725660	False	False	True	1000.0	7500.0	8.824461
2416.18	2119724	True	False	False	1000.0	1000.0	0.24161799999999997
22482.59	4523240	True	False	False	1000.0	10000.0	2.248259
7035.48	2429324	True	False	False	1000.0	2500.0	0.703548
12601.02	3113360	True	False	False	1000.0	5000.0	1.260102
19127.34	3798820	True	False	False	1000.0	7500.0	1.912734
10653.17	963652	True	False	False	1000.0	1000.0	1.065317
138404.81	8869852	True	False	False	1000.0	10000.0	13.840481
28064.77	2269652	True	False	False	1000.0	2500.0	2.806477
56074.89	4496476	True	False	False	1000.0	5000.0	5.607489
110153.84	6677136	True	False	False	1000.0	7500.0	11.015384
