left	right	parent	child
0.000000	1.000000	8	2
0.000000	1.000000	8	6
0.000000	1.000000	9	5
0.000000	1.000000	9	7
0.000000	1.000000	10	3
0.000000	1.000000	10	8
0.000000	1.000000	11	0
0.000000	1.000000	11	1
0.000000	1.000000	12	9
0.000000	1.000000	12	10
0.988059	1.000000	13	4
0.988059	1.000000	13	12
0.000000	0.192356	14	11
0.000000	0.192356	14	12
0.930282	0.988059	15	4
0.930282	1.000000	15	11
0.988059	1.000000	15	13
0.301878	0.544851	16	4
0.910230	0.930282	16	4
0.301878	0.544851	16	11
0.910230	0.930282	16	11
0.544851	0.694387	17	4
0.544851	0.694387	17	12
0.694387	0.910230	18	4
0.694387	0.910230	18	11
0.000000	0.301878	19	4
0.689806	0.694387	19	11
0.192356	0.463632	19	12
0.694387	0.988059	19	12
0.000000	0.192356	19	14
0.930282	0.988059	19	15
0.301878	0.463632	19	16
0.910230	0.930282	19	16
0.689806	0.694387	19	17
0.694387	0.910230	19	18
0.192356	0.301878	20	11
0.192356	0.301878	20	19
0.597822	0.689806	21	11
0.597822	0.689806	21	17
0.544851	0.597822	22	11
0.463632	0.544851	22	12
0.463632	0.544851	22	16
0.544851	0.597822	22	17
